Membership: Membership Type,Industry,Position,Job Function,Person Account: Mailing Country,Age
Young Member,Educational Institution,Professor,Educator,United States,36
Established,Engineering Firm,Engineer,Mechanical Engineer,United States,36
Young Member,Educational Institution,Professor,Mechanical Engineer,United States,36
Young Member,Engineering Firm,Engineer,Nuclear Engineer,United States,36
Established,Engineering Firm,Engineer,Nuclear Engineer,United States,36
Young Member,Engineering Firm,Engineer,Nuclear Engineer,United States,36
Established,Manufacturer,Engineer,Nuclear Engineer,United States,36
Established,National Laboratory,Engineer,Nuclear Engineer,United States,36
Young Member,National Laboratory,Engineer,Nuclear Engineer,United States,36
Recent Graduate,National Laboratory,Engineer,Nuclear Engineer,United States,36
Established,National Laboratory,Engineer,Nuclear Engineer,United States,36
Established,National Laboratory,Engineer,Nuclear Engineer,United States,36
Young Member,Supplier,Manager,Nuclear Engineer,United States,36
Established,Other,Chief/Senior Engineer,Other Engineer,United States,36
Young Member,Engineering Firm,Engineer,Other Engineer,United States,36
Young Member,Engineering Firm,Engineer,Other Engineer,United States,36
Graduate Student,Student,Student,Student,United States,36
Graduate Student,Student,Student,Student,United States,36
Recent Graduate,Student,Student,Student,United States,36
Graduate Student,Student,Student,Student,United States,36
Recent Graduate,National Laboratory,Research Assistant,Nuclear Engineer,Estonia,37
Established,Private Research/Test Lab,Chief/Senior Engineer,Nuclear Engineer,United States,37
Established,Government Agency,Engineer,Nuclear Engineer,United States,37
Established,National Laboratory,Engineer,Nuclear Engineer,United States,37
Established,Educational Institution,Professor,Nuclear Engineer,United States,37
Established,Utility,Supervisor,Nuclear Engineer,United States,37
Established,Other,Engineer,Other,United States,37
Established,Government Agency,Analyst,Other Engineer,United States,37
Established,Educational Institution,Professor,Scientist,United States,37
Established,National Laboratory,Research Assistant,Scientist,United States,37
Student,Student,Student,Student,United States,37
Established,National Laboratory,Engineer,Nuclear Engineer,Japan,38
Established,Educational Institution,Professor,Educator,United States,38
Established,Engineering Firm,Engineer,Mechanical Engineer,United States,38
Established,Supplier,Engineer,Mechanical Engineer,United States,38
Established,Engineering Firm,Analyst,Nuclear Engineer,United States,38
Established,Engineering Firm,Engineer,Nuclear Engineer,United States,38
Established,National Laboratory,Engineer,Nuclear Engineer,United States,38
Established,National Laboratory,Engineer,Nuclear Engineer,United States,38
Established,National Laboratory,Engineer,Nuclear Engineer,United States,38
Established,National Laboratory,Engineer,Nuclear Engineer,United States,38
Lifetime,National Laboratory,Other,Other,United States,38
Established,National Laboratory,Research Assistant,Scientist,Spain,39
Trial,Educational Institution,Professor,Other,United Arab Emirates,39
Established,Educational Institution,Adjunct/Assistant Professor,Educator,United States,39
Established,Educational Institution,Adjunct/Assistant Professor,Educator,United States,39
Established,Educational Institution,Professor,Educator,United States,39
Established,Consulting Firm,Director/Department Head,General/Corporate Management,United States,39
Established,Consulting Firm,Engineer,Nuclear Engineer,United States,39
Established,Engineering Firm,Engineer,Nuclear Engineer,United States,39
Established,Engineering Firm,Engineer,Nuclear Engineer,United States,39
Established,National Laboratory,Engineer,Nuclear Engineer,United States,39
Established,National Laboratory,Engineer,Nuclear Engineer,United States,39
Young Member,National Laboratory,Engineer,Nuclear Engineer,United States,39
Established,Other,Engineer,Nuclear Engineer,United States,39
Established,Private Research/Test Lab,Engineer,Nuclear Engineer,United States,39
Established,Supplier,Engineer,Nuclear Engineer,United States,39
Young Member,Engineering Firm,Manager,Nuclear Engineer,United States,39
Established,National Laboratory,Other,Nuclear Engineer,United States,39
Established,National Laboratory,Engineer,Other Engineer,United States,39
Established,National Laboratory,Engineer,Scientist,United States,39
Established,National Laboratory,Engineer,Scientist,United States,39
Graduate Student,Student,Student,Student,United States,39
Established,Educational Institution,Adjunct/Assistant Professor,Educator,Saudi Arabia,40
Established,National Laboratory,Other,Scientist,United Kingdom,40
Established,Educational Institution,Professor,Educator,United States,40
Lifetime,Educational Institution,Professor,Educator,United States,40
Established,National Laboratory,Engineer,Nuclear Engineer,United States,40
Established,National Laboratory,Engineer,Nuclear Engineer,United States,40
Established,Supplier,Engineer,Nuclear Engineer,United States,40
Established,Manufacturer,,Nuclear Engineer,United States,40
Established,Consulting Firm,Director/Department Head,Other,United States,40
Established,Government Agency,Research Assistant,Other Engineer,United States,40
Student,Student,Student,Student,United States,40
Graduate Student,Student,Student,Student,United States,40
Established,National Laboratory,Engineer,Nuclear Engineer,Japan,41
Established,Educational Institution,Adjunct/Assistant Professor,Educator,United States,41
Established,National Laboratory,Engineer,Nuclear Engineer,United States,41
Established,National Laboratory,Engineer,Nuclear Engineer,United States,41
Established,Consulting Firm,Manager,Nuclear Engineer,United States,41
Established,Government Agency,Analyst,Scientist,United States,41
Established,National Laboratory,Other,Scientist,United States,41
Established,Government Agency,,,United States,41
Established,National Laboratory,Director/Department Head,Scientist,Slovenia,42
Established,Educational Institution,Professor,Educator,United States,42
Established,Consulting Firm,Director/Department Head,Nuclear Engineer,United States,42
Established,Educational Institution,Engineer,Nuclear Engineer,United States,42
Established,Engineering Firm,Engineer,Nuclear Engineer,United States,42
Established,National Laboratory,Engineer,Nuclear Engineer,United States,42
Established,National Laboratory,Engineer,Nuclear Engineer,United States,42
Established,National Laboratory,Manager,Nuclear Engineer,United States,42
Established,Government Agency,Chief/Senior Engineer,Scientist,United States,42
Established,National Laboratory,Engineer,Scientist,United States,42
Established,Educational Institution,Professor,Scientist,United States,42
Established,Utility,Project Manager,,Germany,43
Established,Educational Institution,Director/Department Head,Chemist,United States,43
Established,Educational Institution,Adjunct/Assistant Professor,Educator,United States,43
Established,Educational Institution,Adjunct/Assistant Professor,Educator,United States,43
Established,Educational Institution,Professor,Educator,United States,43
Established,National Laboratory,Engineer,Nuclear Engineer,United States,43
Established,Utility,Engineer,Nuclear Engineer,United States,43
Established,Government Agency,Military Officer,Nuclear Engineer,United States,43
Established,Educational Institution,Other,Nuclear Engineer,United States,43
Established,National Laboratory,Supervisor,Nuclear Engineer,United States,43
Established,Educational Institution,Professor,Other,United States,43
Recent Graduate,Educational Institution,Engineer,Other Engineer,United States,43
Established,Engineering Firm,Vice President,Other Engineer,United States,43
Established,National Laboratory,Engineer,Scientist,United States,43
Established,Manufacturer,Engineer,Mechanical Engineer,Italy,44
Established,Government Agency,Manager,Chemical Engineer,United States,44
Established,Engineering Firm,Chief/Senior Engineer,Mechanical Engineer,United States,44
Established,National Laboratory,Engineer,Nuclear Engineer,United States,44
Established,National Laboratory,Engineer,Nuclear Engineer,United States,44
Established,National Laboratory,Manager,Nuclear Engineer,United States,44
Established,Educational Institution,Professor,Nuclear Engineer,United States,44
Established,Other,Engineer,Plant Operations,United States,44
Established,National Laboratory,Analyst,Scientist,United States,44
Established,Educational Institution,Supervisor,Nuclear Engineer,China,45
Established,Educational Institution,Adjunct/Assistant Professor,Scientist,China,45
Established,Educational Institution,Professor,Educator,United Kingdom,45
Established,Educational Institution,Professor,Educator,United States,45
Established,Engineering Firm,Engineer,Mechanical Engineer,United States,45
Established,National Laboratory,Chief/Senior Engineer,Nuclear Engineer,United States,45
Established,National Laboratory,Engineer,Nuclear Engineer,United States,45
Established,National Laboratory,Manager,Nuclear Engineer,United States,45
Established,Educational Institution,Professor,Nuclear Engineer,United States,45
Established,Other,Other,Other,United States,45
Established,Consulting Firm,Vice President,Other Engineer,United States,45
Established,Educational Institution,Director/Department Head,Scientist,Hungary,46
